,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210502020020000110,72.52,0,7043.65,17455.91,185205.29
1,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210502010020000110,1378.84,8444.0,364.05,154018.28,71294.5
2,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210504010020000110,0,0,0,242.97,17965.68
3,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210501022010000110,0,0,0,0,373.87
4,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210503020010000110,0,0,37.9,0,919.73
5,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210503010010000110,0,0,0,585.55,1000.0
6,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210501011010000110,0,2743.0,6065.45,7052.76,452909.17
7,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210102020010000110,0,0,108.0,10074.49,19092.8
8,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210501012010000110,150.83,0,2194.51,21878.91,197476.53
9,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210501021010000110,0,0,0,2395.01,75065.33
10,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210906030020000110,0,0,0,0,423.49
11,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210102010010000110,0.36,0,0,18.18,0
12,8600*****************202100000014,01.05.2021,17.06.2021,0,71883000,18210904020020000110,0.01,0,0,40.75,9.9
13,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210102020010000110,0,-161756.0,0,114.32,14417.04
14,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210501012010000110,0,0,0,0,34477.83
15,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210501011010000110,0,0,36692.57,1040.41,44626.13
16,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210501021010000110,0,0,0,0,1181.72
17,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210502010020000110,356.82,290.71,16.84,3450.63,76290.75
18,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210502020020000110,0,0,0,31222.77,21880.41
19,8600*****************202100000014,01.05.2021,17.06.2021,0,71884000,18210504010020000110,0,0,0,0,582.0
20,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210501050010000110,0,0,0,8.85,7122.1
21,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210911020020000110,0,0,0,0,0.18
22,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210502020020000110,0,108.0,0,2383.25,158867.76
23,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210502010020000110,332.96,7314.22,2.22,72598.83,164095.31
24,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210504010020000110,0,0,0,350.07,2519.77
25,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210501022010000110,0,0,0,5.98,12912.94
26,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18211610129010000140,0,0,0,2500.0,0
27,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210911010020000110,0,0,0,79.64,9314.5
28,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210501012010000110,0,0,0,1.49,142122.64
29,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210501011010000110,0,0,0,8439.19,138411.88
30,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210102020010000110,99.62,500.0,0,15438.48,208114.77
31,8600*****************202100000014,01.05.2021,17.06.2021,0,71885000,18210501021010000110,0,0,127.84,205.14,5691.89
32,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18211610123010000140,0,0,0,2000.0,0
33,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210102020010000110,0,1.99,0,51153.78,113502.26
34,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210501012010000110,0,0,0,18.32,41990.3
35,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210501021010000110,0,0,0,1.84,1316.5
36,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210501011010000110,0,1000.83,0,2504.19,113754.59
37,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210502020020000110,0,0,0,3.29,5298.56
38,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210502010020000110,1091.85,16772.77,457.4,66038.54,167460.62
39,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18211610129010000140,0,0,600.0,6000.0,300.0
40,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210501022010000110,0,0,0,0,4580.62
41,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210504010020000110,0,45540.0,4445.0,0,313213.16
42,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210503020010000110,0,0,0,0,384.74
43,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210503010010000110,0,0,0,0,194.0
44,8600*****************202100000014,01.05.2021,17.06.2021,0,71887000,18210501050010000110,0,0,0,220.16,83.01
45,8600*****************202100000015,01.05.2021,17.06.2021,0,71887000,18210502010020000110,0,0,0,0,0
46,8600*****************202100000016,01.05.2021,17.06.2021,0,71811151,18210502010020000110,0,0,0,0,1356.21
47,8600*****************202100000016,01.05.2021,17.06.2021,0,71811151,18210102020010000110,0,0,0,0,52.0
48,8600*****************202100000016,01.05.2021,17.06.2021,0,71811151,18210501011010000110,0,0,0,0,3164.18
49,8600*****************202100000016,01.05.2021,17.06.2021,0,71811415,18210502020020000110,0,0,0,0,22.6
50,8600*****************202100000016,01.05.2021,17.06.2021,0,71812154,18210502010020000110,0,0,0,0,386.23
51,8600*****************202100000016,01.05.2021,17.06.2021,0,71812000,18210502020020000110,0,0,0,0,1.91
52,8600*****************202100000016,01.05.2021,17.06.2021,0,71816160,18210502010020000110,0,0,0,0,2480.56
53,8600*****************202100000016,01.05.2021,17.06.2021,0,71816160,18210502020020000110,0,0,0,0,0.37
54,8600*****************202100000016,01.05.2021,17.06.2021,0,71816160,18210102020010000110,0,0,0,0,317.78
55,8600*****************202100000016,01.05.2021,17.06.2021,0,71816416,18210503020010000110,0,0,0,0,59.4
56,8600*****************202100000016,01.05.2021,17.06.2021,0,71818157,18210102020010000110,0,0,0,0,500.0
57,8600*****************202100000016,01.05.2021,17.06.2021,0,71818157,18210502020020000110,0,0,0,0,0.35
58,8600*****************202100000016,01.05.2021,17.06.2021,0,71818401,18210502020020000110,0,0,0,0,100.0
59,8600*****************202100000016,01.05.2021,17.06.2021,0,71818000,18210502020020000110,0,0,0,0,100.0
60,8600*****************202100000016,01.05.2021,17.06.2021,0,71819156,18210502020020000110,0,0,0,0,9227.03
61,8600*****************202100000016,01.05.2021,17.06.2021,0,71819153,18210504020020000110,0,0,0,0,960.0
62,8600*****************202100000016,01.05.2021,17.06.2021,0,71819153,18210502010020000110,0,0,0,2.18,0
63,8600*****************202100000016,01.05.2021,17.06.2021,0,71819000,18210502020020000110,0,0,0,0,123.0
64,8600*****************202100000016,01.05.2021,17.06.2021,0,71819405,18210502020020000110,0,0,0,0,76.63
65,8600*****************202100000016,01.05.2021,17.06.2021,0,71819412,18210502010020000110,0,0,0,0,0.28
66,8600*****************202100000016,01.05.2021,17.06.2021,0,71819412,18210102020010000110,0,0,0,0,125.28
67,8600*****************202100000016,01.05.2021,17.06.2021,0,71821428,18210501012010000110,0,0,0,0,247.17
68,8600*****************202100000016,01.05.2021,17.06.2021,0,71821428,18210501011010000110,0,0,0,0,0.55
69,8600*****************202100000016,01.05.2021,17.06.2021,0,71821428,18210502020020000110,0,0,0,0,4881.0
70,8600*****************202100000016,01.05.2021,17.06.2021,0,71821428,18210502010020000110,0,0,0,0,0.28
71,8600*****************202100000016,01.05.2021,17.06.2021,0,71821000,18210501012010000110,0,0,0,0,5269.8
72,8600*****************202100000016,01.05.2021,17.06.2021,0,71821000,18210102020010000110,0,0,0,0,2701.38
73,8600*****************202100000016,01.05.2021,17.06.2021,0,71821000,18210502020020000110,0,0,0,0,4504.29
74,8600*****************202100000016,01.05.2021,17.06.2021,0,71821151,18210502010020000110,0,0,0,0,100.09
75,8600*****************202100000016,01.05.2021,17.06.2021,0,71821151,18210502020020000110,0,0,0,0,12.38
76,8600*****************202100000016,01.05.2021,17.06.2021,0,71821153,18210502020020000110,0,0,0,0,4797.75
77,8600*****************202100000016,01.05.2021,17.06.2021,0,71821157,18210502020020000110,0,0,0,0,1353.55
78,8600*****************202100000016,01.05.2021,17.06.2021,0,71821157,18210502010020000110,0,0,0,0,25002.07
