,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000030,01.05.2021,17.06.2021,0,71821416,18210601030100000110,1937.31,43701.8,28.0,74188.61,59702.92
1,8600*****************202100000030,01.05.2021,17.06.2021,0,71821416,18210606043100000110,-3237.59,3111.35,75.6,25443.7,82288.27
2,8600*****************202100000030,01.05.2021,17.06.2021,0,71821416,18210604012020000110,3936.36,212327.59,32597.83,242922.24,87502.59
3,8600*****************202100000030,01.05.2021,17.06.2021,0,71821416,18210704030010000110,0,0,0,468.0,7192.74
4,8600*****************202100000030,01.05.2021,17.06.2021,0,71821416,18211610129010000140,0,0,0,0,800.0
5,8600*****************202100000030,01.05.2021,17.06.2021,0,71821404,18210601030100000110,-87768.4,106668.17,20.4,208601.49,304241.4
6,8600*****************202100000030,01.05.2021,17.06.2021,0,71821404,18210606043100000110,282280.97,37627.53,116.39,573364.61,140289.18
7,8600*****************202100000030,01.05.2021,17.06.2021,0,71821404,18210604012020000110,7628.15,471355.04,128.66,1169874.16,180637.59
8,8600*****************202100000030,01.05.2021,17.06.2021,0,71821404,18211610129010000140,0,0,0,0,700.0
9,8600*****************202100000030,01.05.2021,17.06.2021,0,71821432,18210601030100000110,501.67,6406.02,31497.28,22557.43,28255.9
10,8600*****************202100000030,01.05.2021,17.06.2021,0,71821432,18210606043100000110,-46.58,3556.93,16274.0,21941.51,16292.31
11,8600*****************202100000030,01.05.2021,17.06.2021,0,71821432,18210604012020000110,10384.07,103939.79,786.34,442575.53,58144.0
12,8600*****************202100000030,01.05.2021,17.06.2021,0,71821432,18211610129010000140,0,0,0,1000.0,0
13,8600*****************202100000030,01.05.2021,17.06.2021,0,71821428,18210606043100000110,474.09,14003.77,0,79412.11,114193.36
14,8600*****************202100000030,01.05.2021,17.06.2021,0,71821428,18210601030100000110,5440.71,33395.48,5513.74,332772.82,198750.76
15,8600*****************202100000030,01.05.2021,17.06.2021,0,71821428,18210604012020000110,24221.53,349914.62,5670.09,1195220.32,180243.69
16,8600*****************202100000030,01.05.2021,17.06.2021,0,71821428,18210704030010000110,0,0,0,0,9640.0
17,8600*****************202100000030,01.05.2021,17.06.2021,0,71821424,18210601030100000110,1159.28,11997.85,13.35,52542.21,11626.73
18,8600*****************202100000030,01.05.2021,17.06.2021,0,71821424,18210606043100000110,-596.64,1363.11,11.11,6648.87,18568.92
19,8600*****************202100000030,01.05.2021,17.06.2021,0,71821424,18210604012020000110,-26383.49,35615.3,639.49,402444.46,32817.05
20,8600*****************202100000030,01.05.2021,17.06.2021,0,71821436,18210606043100000110,-1056.5,2713.79,208.0,20222.5,29480.91
21,8600*****************202100000030,01.05.2021,17.06.2021,0,71821436,18210601030100000110,373.22,9942.28,2427.01,17364.25,38094.77
22,8600*****************202100000030,01.05.2021,17.06.2021,0,71821436,18210604012020000110,-2855.03,38304.75,516.79,115617.16,34344.31
23,8600*****************202100000030,01.05.2021,17.06.2021,0,71821408,18210601030100000110,396.7,5450.38,434.0,17145.5,12884.77
24,8600*****************202100000030,01.05.2021,17.06.2021,0,71821408,18210606043100000110,-3323.08,3800.88,110.0,18010.2,21042.29
25,8600*****************202100000030,01.05.2021,17.06.2021,0,71821408,18210604012020000110,6499.11,77321.38,0.21,397401.68,18523.66
26,8600*****************202100000030,01.05.2021,17.06.2021,0,71821151,18210606043130000110,-9344.28,38928.73,2271.22,606479.64,272075.28
27,8600*****************202100000030,01.05.2021,17.06.2021,0,71821151,18210601030130000110,-24592.12,477190.86,149680.59,765659.59,983205.79
28,8600*****************202100000030,01.05.2021,17.06.2021,0,71821151,18210604012020000110,26014.99,473168.56,15410.59,1651637.59,181581.95
29,8600*****************202100000030,01.05.2021,17.06.2021,0,71821151,18211610129010000140,0,0,0,200.0,500.0
30,8600*****************202100000030,01.05.2021,17.06.2021,0,71821151,18210904053130000110,0,0,0,0,286.24
31,8600*****************202100000030,01.05.2021,17.06.2021,0,71821157,18210601030130000110,14300.98,153550.48,6587.91,979181.03,214572.79
32,8600*****************202100000030,01.05.2021,17.06.2021,0,71821157,18210604012020000110,-17576.63,1063475.38,13333.19,2840839.76,310608.64
33,8600*****************202100000030,01.05.2021,17.06.2021,0,71821157,18210606043130000110,-81177.17,263216.81,1188.54,161177.73,256573.88
34,8600*****************202100000030,01.05.2021,17.06.2021,0,71821157,18211610129010000140,0,0,0,0,783.33
35,8600*****************202100000030,01.05.2021,17.06.2021,0,71821156,18210601030130000110,-34494.24,1073445.78,374794.91,1833465.48,609546.45
36,8600*****************202100000030,01.05.2021,17.06.2021,0,71821156,18210604012020000110,46781.39,1179185.92,10785.27,2681219.3,457510.7
