,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000029,01.12.2021,31.01.2022,0,71818410,18210601030100000110,550825.06,542876.22,35611.91,544238.87,72555.48
1,8600*****************202100000029,01.12.2021,31.01.2022,0,71818410,18211610129010000140,0,0,4541.0,0,0
2,8600*****************202100000029,01.12.2021,31.01.2022,0,71818401,18210601030100000110,171184.73,145709.73,12162.55,129070.02,22515.72
3,8600*****************202100000029,01.12.2021,31.01.2022,0,71818405,18210601030100000110,741550.96,571174.4,64705.76,1196997.71,118749.42
4,8600*****************202100000029,01.12.2021,31.01.2022,0,71818405,18211610129010000140,0,0,0,1250.0,0
5,8600*****************202100000029,01.12.2021,31.01.2022,0,71818407,18210601030100000110,72823.21,41646.56,9223.08,63329.31,24181.95
6,8600*****************202100000029,01.12.2021,31.01.2022,0,71818407,18211610129010000140,0,0,0,3500.0,0
7,8600*****************202100000029,01.12.2021,31.01.2022,0,71818402,18210601030100000110,117023.88,109335.06,9088.48,84390.62,22423.57
8,8600*****************202100000029,01.12.2021,31.01.2022,0,71818403,18210601030100000110,11947.24,12446.92,1967.83,13161.01,9490.13
9,8600*****************202100000029,01.12.2021,31.01.2022,0,71818406,18210601030100000110,124448.06,128436.7,18616.49,84271.0,17472.91
10,8600*****************202100000029,01.12.2021,31.01.2022,0,71818157,18211610129010000140,0,1500.0,0,6500.0,6440.2
11,8600*****************202100000029,01.12.2021,31.01.2022,0,71818000,18211610129010000140,0,2110.0,0,29158.18,100.0
12,8600*****************202100000029,01.12.2021,31.01.2022,0,71819000,18211610129010000140,0,0,0,200.0,0
13,8600*****************202100000029,01.12.2021,31.01.2022,0,71819000,18210704010010000110,0,0,300.0,0,6880.0
14,8600*****************202100000029,01.12.2021,31.01.2022,0,71819000,18210102020010000110,-60719.0,6864.0,67115.0,1435.19,138472.71
15,8600*****************202100000029,01.12.2021,31.01.2022,0,71819000,18210604012020000110,137973.8,212090.11,38955.56,322169.12,32511.42
