,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100001830,01.12.2021,01.02.2022,0,71876000,18210803010010000110,0,2433339.89,0,0,0
1,8600*****************202100001830,01.12.2021,01.02.2022,0,71884000,18210803010010000110,0,200.0,0,0,0
2,8600*****************202100001831,01.12.2021,01.02.2022,38,71819156,18210604011020000110,3723.11,0,0,3686.62,0
3,8600*****************202100001831,01.12.2021,01.02.2022,38,71819156,18210501011010000110,0,0,0,0,0.04
4,8600*****************202100001831,01.12.2021,01.02.2022,38,71819153,18210606033130000110,64380.5,126332.48,0,0,61951.98
5,8600*****************202100001831,01.12.2021,01.02.2022,38,71824104,18210501021010000110,0,510.02,0,0,0
6,8600*****************202100001831,01.12.2021,01.02.2022,38,71824104,18210604011020000110,50214.75,31747.58,0,2180.57,0
7,8600*****************202100001831,01.12.2021,01.02.2022,38,71824104,18210501011010000110,446218.53,398460.88,0,562.62,0
8,8600*****************202100001831,01.12.2021,01.02.2022,38,71826155,18210501011010000110,7712925.31,7392062.03,82.29,0,3232029.15
9,8600*****************202100001831,01.12.2021,01.02.2022,38,71826155,18210101012020000110,116705.5,116713.0,0,0,14.58
10,8600*****************202100001831,01.12.2021,01.02.2022,38,71826155,18210606033130000110,37473.25,37300.0,49.87,0,48673.09
11,8600*****************202100001831,01.12.2021,01.02.2022,38,71826155,18210604011020000110,699339.87,734025.08,1763.5,0,295771.12
12,8600*****************202100001831,01.12.2021,01.02.2022,38,71826155,18210602010020000110,4344070.59,3334007.28,0,0,129209.5
13,8600*****************202100001831,01.12.2021,01.02.2022,38,71826407,18210101012020000110,806948.22,856189.22,3246.32,0,101125.68
14,8600*****************202100001831,01.12.2021,01.02.2022,38,71826407,18210604011020000110,228515.68,259548.68,0,0,31033.0
15,8600*****************202100001831,01.12.2021,01.02.2022,38,71826407,18210602010020000110,472600.59,472600.59,0,0,0
16,8600*****************202100001831,01.12.2021,01.02.2022,38,71826000,18211610129010000140,0,0,500.0,0,350.0
17,8600*****************202100001831,01.12.2021,01.02.2022,38,71829412,18210501011010000110,102700.82,176500.1,0,1323.12,0
18,8600*****************202100001831,01.12.2021,01.02.2022,38,71871000,18210604011020000110,54706.6,81440.6,0,0,62963.13
19,8600*****************202100001831,01.12.2021,01.02.2022,38,71871000,18210501021010000110,352320.58,460036.0,0,0,322564.31
20,8600*****************202100001831,01.12.2021,01.02.2022,38,71871000,18210101012020000110,188927.42,198011.0,6353.44,0,46044.85
21,8600*****************202100001831,01.12.2021,01.02.2022,38,71871000,18210501011010000110,62960.67,179102.61,42642.32,34.4,116527.17
22,8600*****************202100001831,01.12.2021,01.02.2022,38,71872000,18210501011010000110,346330.97,0,0,382479.61,0
23,8600*****************202100001831,01.12.2021,01.02.2022,38,71874000,18210101012020000110,3458906.13,4145137.62,0,0,691368.69
24,8600*****************202100001831,01.12.2021,01.02.2022,38,71874000,18210501021010000110,1202440.0,727002.0,0,0,517964.0
25,8600*****************202100001831,01.12.2021,01.02.2022,38,71874000,18210604011020000110,423846.68,418846.68,0,0,314099.0
26,8600*****************202100001831,01.12.2021,01.02.2022,38,71874000,18210602010020000110,7595.57,25516.14,1.57,0,24021.51
27,8600*****************202100001831,01.12.2021,01.02.2022,38,71875000,18211610129010000140,0,0,887.35,0,4012.65
