,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100002770,01.04.2021,18.05.2021,47,71826155,18210102010010000110,1071712.34,828642.68,625.0,0.34,255130.41
1,8600*****************202100002770,01.04.2021,18.05.2021,47,71826153,18210102010010000110,777360.06,385596.08,0,13.98,57112.0
2,8600*****************202100002770,01.04.2021,18.05.2021,47,71826000,18210102010010000110,142289.53,92493.0,0,392.09,34233.0
3,8600*****************202100002770,01.04.2021,18.05.2021,47,71826105,18210102010010000110,2495480.0,1738205.0,0,38.41,515501.11
4,8600*****************202100002770,01.04.2021,18.05.2021,47,71826407,18210102010010000110,325991.84,210450.0,0,0,55513.19
5,8600*****************202100002770,01.04.2021,18.05.2021,47,71826423,18210102010010000110,937443.0,638653.0,0,0,173821.19
6,8600*****************202100002770,01.04.2021,18.05.2021,47,71826165,18210102010010000110,1035527.0,691177.0,0,0,193029.65
7,8600*****************202100002770,01.04.2021,18.05.2021,47,71829416,18210102010010000110,689504.62,38278.22,0,672626.57,20824.05
8,8600*****************202100002770,01.04.2021,18.05.2021,47,71829406,18210102010010000110,44938.0,44448.0,0,0,58638.0
9,8600*****************202100002770,01.04.2021,18.05.2021,47,71829000,18210102010010000110,0,0,0,0,0.99
10,8600*****************202100002770,01.04.2021,18.05.2021,47,71871000,18210102010010000110,4553118.54,3250320.5,0,40054.83,999799.0
11,8600*****************202100002770,01.04.2021,18.05.2021,47,71872000,18210102010010000110,4713705.84,3327196.56,3001.0,65413.86,1298774.43
12,8600*****************202100002770,01.04.2021,18.05.2021,47,71873000,18210102010010000110,5970807.99,5041570.24,12009.0,15393.76,2736477.87
13,8600*****************202100002770,01.04.2021,18.05.2021,47,71874000,18210102010010000110,5709288.39,4172787.49,550.74,317489.5,1478414.37
14,8600*****************202100002770,01.04.2021,18.05.2021,47,71875000,18210102010010000110,17168204.48,12377179.99,0,207550.79,4095805.55
15,8600*****************202100002770,01.04.2021,18.05.2021,47,71875000,18211610129010000140,0,0,0,0,500.0
16,8600*****************202100002770,01.04.2021,18.05.2021,47,71876000,18210102010010000110,25194290.04,17422582.77,1354.71,55665.34,6539309.03
17,8600*****************202100002770,01.04.2021,18.05.2021,47,71877000,18210102010010000110,2511017.5,1811743.88,0,393.84,698103.53
18,8600*****************202100002770,01.04.2021,18.05.2021,47,71877000,18210101012020000110,0,4.77,0,0,4.77
19,8600*****************202100002770,01.04.2021,18.05.2021,47,71878000,18210102010010000110,3192068.48,2270251.0,0,59496.85,678386.71
20,8600*****************202100002770,01.04.2021,18.05.2021,47,71879000,18210102010010000110,3302128.73,2385120.6,740.0,394.08,703426.7
21,8600*****************202100002770,01.04.2021,18.05.2021,47,71883000,18210102010010000110,4228479.54,3041098.0,0,53.08,1509969.95
22,8600*****************202100002770,01.04.2021,18.05.2021,47,71884000,18210102010010000110,723898.9,452864.93,8960.11,58199.8,196593.29
23,8600*****************202100002770,01.04.2021,18.05.2021,47,71885000,18210102010010000110,2006744.16,1511197.86,191.32,270.66,671075.82
24,8600*****************202100002770,01.04.2021,18.05.2021,47,71887000,18210102010010000110,4229148.0,3085597.13,0,1399.37,987012.41
25,8600*****************202100002770,01.04.2021,18.05.2021,47,71887000,18210102020010000110,0,0,0,0,16000.0
26,8600*****************202100002771,01.04.2021,18.05.2021,47,71875000,18210102010010000110,4973.84,0,0,258610.02,0
27,8600*****************202100002772,01.04.2021,18.05.2021,47,71879000,18210102010010000110,0,0,0,0,0
28,8600*****************202100002773,01.04.2021,18.05.2021,47,71873000,18210102010010000110,0,0,0,0,7540.0
29,8600*****************202100002774,01.04.2021,18.05.2021,47,71887000,18210502010020000110,0,0,0,0,0
30,8600*****************202100002775,01.04.2021,18.05.2021,47,71826155,18210504020020000110,0,0,0,0,5000.0
31,8600*****************202100002775,01.04.2021,18.05.2021,47,71829000,18210504020020000110,0,0,0,0,5000.0
32,8600*****************202100002775,01.04.2021,18.05.2021,47,71871000,18210501011010000110,0,0,0,400.84,0
33,8600*****************202100002775,01.04.2021,18.05.2021,47,71871000,18210502010020000110,0,0,0,0,6413.0
34,8600*****************202100002775,01.04.2021,18.05.2021,47,71873000,18210502010020000110,0,0,0,0,7.0
35,8600*****************202100002775,01.04.2021,18.05.2021,47,71873000,18211610129010000140,0,0,0,0,400.0
36,8600*****************202100002775,01.04.2021,18.05.2021,47,71875000,18210502020020000110,0,0,0,0,200.51
37,8600*****************202100002775,01.04.2021,18.05.2021,47,71875000,18210501050010000110,0,0,0,0,600.0
38,8600*****************202100002775,01.04.2021,18.05.2021,47,71879000,18210502010020000110,0,0,0,0,351.99
39,8600*****************202100002776,01.04.2021,18.05.2021,47,71812000,18210504020020000110,0,0,0,0,20000.0
40,8600*****************202100002776,01.04.2021,18.05.2021,47,71821151,18210502020020000110,0,0,0,0,16.1
41,8600*****************202100002776,01.04.2021,18.05.2021,47,71872000,18210502010020000110,7379.14,8.32,0,0,0
42,8600*****************202100002776,01.04.2021,18.05.2021,47,71873000,18210102020010000110,0,0,0,0,84058.0
43,8600*****************202100002776,01.04.2021,18.05.2021,47,71873000,18210501011010000110,1204.0,0,0,0,39463.0
44,8600*****************202100002776,01.04.2021,18.05.2021,47,71873000,18210502010020000110,61599.0,36555.0,0,0,77342.97
45,8600*****************202100002776,01.04.2021,18.05.2021,47,71874000,18210502010020000110,0,0,0,0,1397.6
46,8600*****************202100002776,01.04.2021,18.05.2021,47,71876000,18210502010020000110,0,0,0,0,688.15
47,8600*****************202100002776,01.04.2021,18.05.2021,47,71884000,18210502010020000110,0,0,0,0,14846.76
48,8600*****************202100002777,01.04.2021,18.05.2021,47,71871000,18210102020010000110,0,0,0,0,0
49,8600*****************202100002778,01.04.2021,18.05.2021,0,71884000,18210803010010000110,0,0,0,0,0
