,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210606042040000110,-112322.94,1019104.21,55512.8,4071139.32,1587751.45
1,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210601020040000110,-806386.82,3300448.4,122577.77,12789460.96,3221474.46
2,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210102030010000110,190692.33,6588615.84,174304.89,4456598.74,10329474.31
3,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210102020010000110,0,0,0,0,12792.0
4,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210904052040000110,0,0,0,0,283.89
5,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18210102010010000110,-15296376.64,49555.73,2047492.04,182076.26,25492118.14
6,8600*****************202100000070,01.04.2021,18.05.2021,0,71883000,18211610123010000140,0,0,0,14000.0,0
