,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000036,01.04.2021,18.05.2021,0,71829434,18210102010010000110,-283431.0,0,63107.0,0,226512.55
1,8600*****************202100000036,01.04.2021,18.05.2021,0,71829000,18210102010010000110,-160949025.75,443946.0,29244129.68,1323390.93,179038431.0
2,8600*****************202100000036,01.04.2021,18.05.2021,0,71829000,18210601030050000110,368.34,485.11,0,22131.57,103657.39
3,8600*****************202100000036,01.04.2021,18.05.2021,0,71829000,18210904053050000110,0,0,0,0,752.62
4,8600*****************202100000036,01.04.2021,18.05.2021,0,71829432,18210102010010000110,-1485961.05,0,226509.0,76272.08,2171536.92
5,8600*****************202100000036,01.04.2021,18.05.2021,0,71829443,18210102010010000110,-436315.4,0,208278.0,12649.7,601825.51
6,8600*****************202100000036,01.04.2021,18.05.2021,0,71829412,18210102010010000110,-830750.85,1.01,318708.0,27852.85,2663138.81
7,8600*****************202100000036,01.04.2021,18.05.2021,0,71829406,18210102010010000110,-9037818.6,2941.95,1940195.39,283635.62,21953445.99
8,8600*****************202100000036,01.04.2021,18.05.2021,0,71829416,18210102010010000110,-691089.09,0,71988.0,5767.17,1800729.35
9,8600*****************202100000036,01.04.2021,18.05.2021,0,71829448,18210102010010000110,-183543.74,2990.0,73212.0,166.95,549206.88
10,8600*****************202100000036,01.04.2021,18.05.2021,0,71829407,18210102010010000110,-1007130.53,4064.1,248215.0,5680.55,1566238.22
11,8600*****************202100000036,01.04.2021,18.05.2021,0,71829417,18210102010010000110,-393371.54,0,333076.0,3393.76,531309.63
12,8600*****************202100000036,01.04.2021,18.05.2021,0,71829435,18210102010010000110,-1270418.0,0,27135.0,0,1692100.0
13,8600*****************202100000036,01.04.2021,18.05.2021,0,71829424,18210102010010000110,-856126.0,0,232843.0,0.22,892384.78
14,8600*****************202100000036,01.04.2021,18.05.2021,0,71829428,18210102010010000110,-3242039.0,0,382529.0,0,3553406.68
15,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210102010010000110,-542785789.44,2446915.67,122228898.91,5639764.74,670636589.84
16,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210904040010000110,0,0,0,0,840.66
17,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18211610123010000140,0,0,0,111900.0,14700.0
18,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210102030010000110,0,4212.88,0,525.06,11938.31
19,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210601020040000110,-147087.16,459119.75,11911.79,1202197.5,1493932.76
20,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210606042040000110,-27709.85,137316.28,5706.91,462794.64,494237.44
21,8600*****************202100000036,01.04.2021,18.05.2021,0,71871000,18210904052040000110,0,0,0,0,56.15
