,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210606042040000110,11354.15,199172.06,2054.52,677687.01,74004.29
1,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210601020040000110,-14896.42,282010.45,31066.96,1035126.46,217513.01
2,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210102030010000110,822.27,67136.35,0,6973.67,67605.01
3,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210904052040000110,0,0,0,0,283.81
4,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210102020010000110,0,0,0,0,33.0
5,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210604012020000110,179096.2,4502687.14,98110.18,17523586.83,1813594.77
6,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18211610129010000140,0,3231.77,1516.05,164737.84,15829.13
7,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210504010020000110,0,5000.0,0,0,5000.0
8,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210502010020000110,0,0,0,0,1000.0
9,8600*****************202100000074,01.04.2021,18.05.2021,0,71887000,18210704010010000110,0,0,0,0,140.0
10,8600*****************202100000075,01.04.2021,18.05.2021,0,71821157,18210606043130000110,3.25,0,0,197.91,0
11,8600*****************202100000075,01.04.2021,18.05.2021,0,71821157,18210604012020000110,1083.55,0,0,65531.37,0
12,8600*****************202100000075,01.04.2021,18.05.2021,0,71876000,18211610129010000140,0,0,0,1200.0,0
13,8600*****************202100000075,01.04.2021,18.05.2021,0,71876000,18210604012020000110,5436.6,20562.63,0,522252.89,0
14,8600*****************202100000075,01.04.2021,18.05.2021,0,71876000,18210601020040000110,21466.21,0,0,2016947.06,0
15,8600*****************202100000075,01.04.2021,18.05.2021,0,71876000,18210606042040000110,101.04,0,0,297431.29,0
16,8600*****************202100000075,01.04.2021,18.05.2021,0,71883000,18210102010010000110,69950.0,0,0,0,0
17,8600*****************202100000076,01.04.2021,18.05.2021,0,71800000,18210506000010000110,186181.86,155370.04,0,28782.58,3.11
18,8600*****************202100000076,01.04.2021,18.05.2021,0,71811151,18210606043130000110,46.36,0.1,0,3114.66,119.12
19,8600*****************202100000076,01.04.2021,18.05.2021,0,71811151,18210604012020000110,508.17,0,0,41839.25,110.2
20,8600*****************202100000076,01.04.2021,18.05.2021,0,71811151,18210601030130000110,-3242.16,0,0,194917.9,1097.23
21,8600*****************202100000076,01.04.2021,18.05.2021,0,71811151,18210102030010000110,0,0,0,0,20117.0
22,8600*****************202100000076,01.04.2021,18.05.2021,0,71811151,18210102010010000110,0,0,0,0,18385.0
23,8600*****************202100000076,01.04.2021,18.05.2021,0,71811000,18210102010010000110,0,0,5720.0,0,0
24,8600*****************202100000076,01.04.2021,18.05.2021,0,71812151,18210102010010000110,0,0,0,0,46800.0
25,8600*****************202100000076,01.04.2021,18.05.2021,0,71812151,18210102030010000110,0,0,0,1589.16,47.47
26,8600*****************202100000076,01.04.2021,18.05.2021,0,71812151,18210601030130000110,3279.82,0,0,203612.68,947.1
27,8600*****************202100000076,01.04.2021,18.05.2021,0,71812151,18210604012020000110,-198604.3,0,0,281059.84,4258.44
28,8600*****************202100000076,01.04.2021,18.05.2021,0,71812151,18210606043130000110,68.72,0,0,4709.48,0.05
29,8600*****************202100000076,01.04.2021,18.05.2021,0,71812000,18210102010010000110,0,0,0,0,708.26
30,8600*****************202100000076,01.04.2021,18.05.2021,0,71812000,18211610129010000140,0,0,0,500.0,0
31,8600*****************202100000076,01.04.2021,18.05.2021,0,71812154,18210102030010000110,0.81,439.23,0,0,49053.0
32,8600*****************202100000076,01.04.2021,18.05.2021,0,71812154,18210606043130000110,0,317.56,317.56,0,386.47
