,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000075,01.02.2021,16.03.2021,0,71887000,18210102030010000110,0,0,0,0,0
1,8600*****************202100000076,01.02.2021,16.03.2021,0,71876000,18210606042040000110,48.49,0,0,293798.54,0
2,8600*****************202100000076,01.02.2021,16.03.2021,0,71876000,18210604012020000110,2613.98,0,0,539992.9,0
3,8600*****************202100000076,01.02.2021,16.03.2021,0,71876000,18210601020040000110,10301.74,0,0,2005782.59,0
4,8600*****************202100000076,01.02.2021,16.03.2021,0,71876000,18211610129010000140,0,0,0,1200.0,0
5,8600*****************202100000076,01.02.2021,16.03.2021,0,71883000,18210102010010000110,0,0,0,0,69950.0
6,8600*****************202100000077,01.02.2021,16.03.2021,0,71887000,18210102030010000110,0,0,0,0,0
7,8600*****************202100000078,01.02.2021,16.03.2021,0,71875000,18210601020040000110,0,0,0,0,0
