,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000047,01.02.2021,16.03.2021,0,71874000,18210601020040000110,85073.58,1940320.37,360525.63,16098660.36,3538238.52
1,8600*****************202100000047,01.02.2021,16.03.2021,0,71874000,18210102020010000110,43332.0,0,0,5133.72,233501.29
2,8600*****************202100000047,01.02.2021,16.03.2021,0,71874000,18210904052040000110,0,0,0,0,8.84
3,8600*****************202100000047,01.02.2021,16.03.2021,0,71874000,18211610129010000140,800.0,17882.82,1984.55,1204817.3,224717.18
4,8600*****************202100000047,01.02.2021,16.03.2021,0,71875000,18211610129010000140,-1900.0,47179.42,35860.06,1859837.19,1144678.11
5,8600*****************202100000047,01.02.2021,16.03.2021,0,71875000,18210601020040000110,10726.86,96576.7,725.01,2121214.65,403132.53
