,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210604012020000110,18740.24,121964.04,3840.9,4076320.72,573603.68
1,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210501021010000110,0,0,0,11804.6,48238.96
2,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210504010020000110,0,0,0,8094.24,340547.57
3,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210605000020000110,0,0,0,1351.31,0
4,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210102020010000110,868.99,67968.57,0,453962.57,16371745.11
5,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18211610123010000140,0,9198.89,0,65440.86,30835.93
6,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210501012010000110,0,0,0,2772.07,468001.62
7,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210501011010000110,48.88,-31197.08,0,22089.0,635018.57
8,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210907012040000110,0,0,0,0,825.04
9,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210911020020000110,0,0,0,0,407.74
10,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210601020040000110,77678.47,1554139.58,28270.45,20420583.87,3636495.28
11,8600*****************202200000032,01.01.2022,16.02.2022,0,71874000,18210506000010000110,0,0,0,0,0.64
