,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100003244,01.11.2021,17.12.2021,64,71887000,18210102010010000110,0,0,0,0,0
1,8600*****************202100003245,01.11.2021,17.12.2021,64,71883000,18210102010010000110,0,0,0,0,0
2,8600*****************202100003246,01.11.2021,17.12.2021,64,71875000,18210102010010000110,0,0,0,0,0
3,8600*****************202100003247,01.11.2021,17.12.2021,0,71875000,18211301020010000130,0,400.0,0,0,0
4,8600*****************202100003248,01.11.2021,17.12.2021,64,71875000,18210602010020000110,0,0,0,0,26.12
5,8600*****************202100003248,01.11.2021,17.12.2021,64,71875000,18210604011020000110,268040.0,804168.0,0,0,657970.69
6,8600*****************202100003248,01.11.2021,17.12.2021,64,71875000,18210102080010000110,0,12449125.0,0,0,12449125.0
7,8600*****************202100003248,01.11.2021,17.12.2021,64,71875000,18210101012020000110,-85636054.0,58124458.0,98175000.0,0,45585519.29
8,8600*****************202100003248,01.11.2021,17.12.2021,64,71876000,18210501011010000110,2440.0,0,0,416.0,0
9,8600*****************202100003248,01.11.2021,17.12.2021,64,71876000,18210101012020000110,0,0,0,0,2687.0
10,8600*****************202100003248,01.11.2021,17.12.2021,64,71883000,18210606032040000110,0,16952.0,0,0,16952.0
11,8600*****************202100003249,01.11.2021,17.12.2021,64,71875000,18210102080010000110,13792073.49,1760290.0,0,12031783.49,0
12,8600*****************202100003249,01.11.2021,17.12.2021,64,71875000,18210102010010000110,8675727.0,8651802.0,0,0,12636.59
13,8600*****************202100003249,01.11.2021,17.12.2021,64,71876000,18210102010010000110,850.74,0,0,145.04,7.84
14,8600*****************202100003250,01.11.2021,17.12.2021,64,71871000,18210501021010000110,0,0,0,0,0.43
15,8600*****************202100003250,01.11.2021,17.12.2021,64,71871000,18210501011010000110,0,16000.0,0,0,16000.0
16,8600*****************202100003250,01.11.2021,17.12.2021,64,71876000,18210101012020000110,65021.69,0,0,146515.02,0
