,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210601020040000110,-318455.02,16865397.42,1808075.46,9927528.82,14287068.57
1,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210102020010000110,27080.61,69964.22,5723.66,569940.66,587342.86
2,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210501012010000110,422.04,1806.83,1190.61,6731.36,174876.51
3,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210904052040000110,0,0.58,30.13,124.67,247.86
4,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18211610129010000140,5200.0,1292542.09,398846.21,1748534.45,651738.95
5,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210605000020000110,0,4554.36,0,468.91,0
6,8600*****************202100000078,01.11.2021,17.12.2021,0,71876000,18210911020020000110,0,0.01,0,2.13,130.0
7,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210605000020000110,0,0,0,0,30923.27
8,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210911020020000110,0,0,0,0,9001.4
9,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18211610129010000140,0,1500.58,500.0,32709.61,15920.51
10,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210601020040000110,219717.08,23351155.8,1373283.62,11958917.59,20456215.32
11,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210102020010000110,0,-69466.59,0,31715.72,44580.25
12,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210501012010000110,0,0,0,0,12081.48
13,8600*****************202100000078,01.11.2021,17.12.2021,0,71877000,18210904052040000110,0,0,624.62,0,2980.93
