,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000094,01.11.2021,17.12.2021,0,71826407,18210604012020000110,430.72,0,0,13850.89,65177.22
1,8600*****************202100000094,01.11.2021,17.12.2021,0,71826407,18210504020020000110,0,0,0,0,34852.0
2,8600*****************202100000094,01.11.2021,17.12.2021,0,71826407,18210601030100000110,-22303.72,1031.55,263.99,78649.39,24520.64
3,8600*****************202100000094,01.11.2021,17.12.2021,0,71826165,18210604012020000110,-6819.77,7146.96,1.22,70345.41,129367.14
4,8600*****************202100000094,01.11.2021,17.12.2021,0,71826165,18210606043130000110,-141.07,1060.14,0,6252.12,4644.98
5,8600*****************202100000094,01.11.2021,17.12.2021,0,71826165,18210504020020000110,5576.0,1999.02,0,0,11659.02
6,8600*****************202100000094,01.11.2021,17.12.2021,0,71826155,18210604012020000110,-421.99,0.02,0,8815.93,83107.84
7,8600*****************202100000094,01.11.2021,17.12.2021,0,71826155,18210502020020000110,0,0,0,0,6900.14
8,8600*****************202100000094,01.11.2021,17.12.2021,0,71826155,18210606043130000110,-204.53,157.0,188.8,1948.77,2485.34
9,8600*****************202100000094,01.11.2021,17.12.2021,0,71826155,18210504020020000110,0,0,0,0,22443.34
10,8600*****************202100000094,01.11.2021,17.12.2021,0,71826416,18210604012020000110,0,0,0,32.59,28890.99
11,8600*****************202100000094,01.11.2021,17.12.2021,0,71826416,18210601030100000110,17.2,475.32,644.28,765.61,13998.16
12,8600*****************202100000094,01.11.2021,17.12.2021,0,71826153,18210604012020000110,107.8,0,0,106681.49,155772.41
13,8600*****************202100000094,01.11.2021,17.12.2021,0,71826153,18210606043130000110,-1292.38,86.0,28.04,6902.67,6562.29
14,8600*****************202100000094,01.11.2021,17.12.2021,0,71826436,18210604012020000110,0,0,0,0,9672.95
15,8600*****************202100000094,01.11.2021,17.12.2021,0,71826436,18210601030100000110,198.47,0,210.6,2399.47,6830.2
16,8600*****************202100000094,01.11.2021,17.12.2021,0,71826450,18210604012020000110,35.13,0,0,35.13,2741.1
17,8600*****************202100000094,01.11.2021,17.12.2021,0,71826450,18210601030100000110,-198.94,45.25,45.25,5456.8,8437.48
18,8600*****************202100000094,01.11.2021,17.12.2021,0,71826420,18210604012020000110,5437.02,0,0,4524.12,9082.5
19,8600*****************202100000094,01.11.2021,17.12.2021,0,71826420,18210601030100000110,4.67,38757.9,116.0,3.06,41138.11
20,8600*****************202100000094,01.11.2021,17.12.2021,0,71826448,18210604012020000110,394.32,0,0.1,329.79,15595.06
21,8600*****************202100000094,01.11.2021,17.12.2021,0,71826448,18210601030100000110,10.95,874.65,970.09,1401.36,9341.99
22,8600*****************202100000094,01.11.2021,17.12.2021,0,71826423,18210604012020000110,3543.57,0,1.39,18988.36,72043.82
23,8600*****************202100000094,01.11.2021,17.12.2021,0,71826423,18210601030100000110,192.45,1065.09,1711.72,11886.15,20992.62
24,8600*****************202100000094,01.11.2021,17.12.2021,0,71826105,18210604012020000110,974.45,1414.51,63.4,97183.65,209632.53
25,8600*****************202100000094,01.11.2021,17.12.2021,0,71826105,18210502020020000110,0,0,0,0,0.04
26,8600*****************202100000094,01.11.2021,17.12.2021,0,71826105,18210606043130000110,-250.47,69.22,249.0,3297.6,2934.33
27,8600*****************202100000094,01.11.2021,17.12.2021,0,71826105,18210504020020000110,-138.0,0,0,0,6444.55
28,8600*****************202100000094,01.11.2021,17.12.2021,0,71826444,18210604012020000110,0,0,0,0,167.26
29,8600*****************202100000094,01.11.2021,17.12.2021,0,71826444,18210601030100000110,1.48,0,0.15,1852.89,4652.06
30,8600*****************202100000094,01.11.2021,17.12.2021,0,71826430,18210604012020000110,0,0,0,0,14319.46
31,8600*****************202100000094,01.11.2021,17.12.2021,0,71826430,18210601030100000110,-596.36,0,363.6,6932.63,4818.58
32,8600*****************202100000094,01.11.2021,17.12.2021,0,71826000,18210604012020000110,0,0,0,0,2161.71
33,8600*****************202100000094,01.11.2021,17.12.2021,0,71826000,18210504020020000110,0,0,0,0,3.25
34,8600*****************202100000094,01.11.2021,17.12.2021,0,71826000,18211610129010000140,0,15741.11,2322.5,0,15944.09
35,8600*****************202100000094,01.11.2021,17.12.2021,0,71829416,18210601030100000110,-844.99,160.0,0,33477.53,15070.28
36,8600*****************202100000094,01.11.2021,17.12.2021,0,71829416,18210604012020000110,-472.65,0,0,32588.19,29826.29
37,8600*****************202100000094,01.11.2021,17.12.2021,0,71829416,18210606043100000110,-2159.11,0,1.92,5628.76,11387.09
38,8600*****************202100000094,01.11.2021,17.12.2021,0,71829416,18210904053100000110,0,0,427.28,0,487.99
39,8600*****************202100000094,01.11.2021,17.12.2021,0,71829416,18210102010010000110,0,0,0,0,4896.0
40,8600*****************202100000094,01.11.2021,17.12.2021,0,71829412,18210601030100000110,-53.42,0,0,971.29,347.07
41,8600*****************202100000094,01.11.2021,17.12.2021,0,71829412,18210604012020000110,-157.01,0,0,42053.97,26234.24
42,8600*****************202100000094,01.11.2021,17.12.2021,0,71829412,18210606043100000110,-360.82,0,0,3320.55,2223.45
43,8600*****************202100000094,01.11.2021,17.12.2021,0,71829412,18210904053100000110,0,0,0,0,1430.25
44,8600*****************202100000094,01.11.2021,17.12.2021,0,71829443,18210601030100000110,0,0,1769.15,264.7,1276.93
45,8600*****************202100000094,01.11.2021,17.12.2021,0,71829443,18210604012020000110,-874.95,2143.12,2.38,1021.37,4961.07
46,8600*****************202100000094,01.11.2021,17.12.2021,0,71829443,18210606043100000110,-964.37,74.0,444.42,1969.2,2834.34
47,8600*****************202100000094,01.11.2021,17.12.2021,0,71829443,18210904053100000110,0,0,0,0,619.36
48,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210601030100000110,-122.31,65.96,795.72,4205.18,84419.44
49,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210604012020000110,-1846.72,2533.21,602.21,10912.96,44927.86
50,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210503010010000110,0,0,0,0,1000.0
51,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210606043100000110,-453.98,900.89,57.92,7004.64,13828.87
52,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210904053100000110,0,0,0,0,2429.12
53,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210102030010000110,0,0,0,0,15.54
54,8600*****************202100000094,01.11.2021,17.12.2021,0,71829406,18210102010010000110,0,0,0,0,2343.75
55,8600*****************202100000094,01.11.2021,17.12.2021,0,71829417,18210601030100000110,-0.3,0,1.76,78.82,4356.68
56,8600*****************202100000094,01.11.2021,17.12.2021,0,71829417,18210604012020000110,-154.91,55.26,6.39,7012.65,19959.85
57,8600*****************202100000094,01.11.2021,17.12.2021,0,71829417,18210501011010000110,0,0,0,0,22838.01
