,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000060,01.06.2021,16.07.2021,0,71876000,18210601020040000110,-327016.43,4013289.46,87472.14,10674220.22,6484944.26
1,8600*****************202100000060,01.06.2021,16.07.2021,0,71876000,18210102030010000110,40507.03,976468.46,502.0,2300380.07,60656.06
2,8600*****************202100000060,01.06.2021,16.07.2021,0,71876000,18210606042040000110,-45652.87,790360.06,50395.19,1576514.65,2533854.07
3,8600*****************202100000060,01.06.2021,16.07.2021,0,71876000,18210102020010000110,4664.18,21909.64,0,5096.9,0
