,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210601020040000110,-1953179.2,3837925.23,702209.07,21253377.26,6826991.96
1,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210606042040000110,16243.17,2162569.83,59441.6,4994777.54,971422.43
2,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210102030010000110,-627725.39,95099.95,30410.19,5596862.91,3000796.59
3,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210904052040000110,0,0,0,125.25,280.22
4,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210102020010000110,0,0,0,833.67,0
5,8600*****************202100000061,01.03.2021,20.04.2021,0,71876000,18210501011010000110,0,0,0,13.78,0
