,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000029,01.03.2021,20.04.2021,0,71824152,18210604012020000110,1866.51,198297.47,292.87,1111232.44,92052.83
1,8600*****************202100000029,01.03.2021,20.04.2021,0,71824152,18210606043130000110,1294.96,6152.89,1408.14,178321.91,58459.69
2,8600*****************202100000029,01.03.2021,20.04.2021,0,71824152,18210601030130000110,-16336.08,41714.29,1054.06,578521.85,181608.52
3,8600*****************202100000029,01.03.2021,20.04.2021,0,71824159,18210601030130000110,2405.87,117390.63,387.17,247885.56,119264.95
4,8600*****************202100000029,01.03.2021,20.04.2021,0,71824159,18210606043130000110,464.23,38264.34,20.92,38398.37,66356.25
5,8600*****************202100000029,01.03.2021,20.04.2021,0,71824159,18210604012020000110,-57723.11,328579.95,829.75,1188334.12,43704.64
6,8600*****************202100000029,01.03.2021,20.04.2021,0,71824104,18210606043130000110,-2488927.64,1161660.47,481334.69,3505524.14,2119995.41
7,8600*****************202100000029,01.03.2021,20.04.2021,0,71824104,18210601030130000110,15054.18,1100048.45,74941.92,5246023.41,2058706.46
8,8600*****************202100000029,01.03.2021,20.04.2021,0,71824104,18210604012020000110,40457.48,2993858.81,48089.69,17168943.54,1290237.12
9,8600*****************202100000029,01.03.2021,20.04.2021,0,71824104,18211610129010000140,0,0,0,1000.0,0
10,8600*****************202100000029,01.03.2021,20.04.2021,0,71824104,18210904053130000110,0,0,0,0,144.0
11,8600*****************202100000029,01.03.2021,20.04.2021,0,71824155,18210604012020000110,-14045.62,116575.59,1405.82,1149261.22,84935.79
12,8600*****************202100000029,01.03.2021,20.04.2021,0,71824155,18210601030130000110,1113.61,17983.06,523.65,196759.62,115865.87
13,8600*****************202100000029,01.03.2021,20.04.2021,0,71824155,18210606043130000110,71.99,874.73,29.13,6182.26,31112.9
14,8600*****************202100000029,01.03.2021,20.04.2021,0,71824157,18210604012020000110,-105303.59,281628.75,4888.07,1386504.52,252351.16
15,8600*****************202100000029,01.03.2021,20.04.2021,0,71824157,18210601030130000110,10454.28,103169.4,1073.99,886878.69,392908.24
16,8600*****************202100000029,01.03.2021,20.04.2021,0,71824157,18210606043130000110,1942.22,32169.36,4470.71,169244.4,91909.02
17,8600*****************202100000029,01.03.2021,20.04.2021,0,71824153,18210604012020000110,15097.12,185963.17,0.22,1331295.13,42895.53
18,8600*****************202100000029,01.03.2021,20.04.2021,0,71824153,18210601030130000110,-1269.37,15957.16,218.55,208965.02,163635.71
19,8600*****************202100000029,01.03.2021,20.04.2021,0,71824153,18210606043130000110,1872.37,2577.98,10.48,213445.16,70599.8
20,8600*****************202100000029,01.03.2021,20.04.2021,0,71824158,18210601030130000110,3022.43,65966.44,635.98,263505.33,245673.8
21,8600*****************202100000029,01.03.2021,20.04.2021,0,71824158,18210604012020000110,14656.64,142122.3,664.94,1334538.34,90028.46
22,8600*****************202100000029,01.03.2021,20.04.2021,0,71824158,18210606043130000110,741.05,26240.52,229.4,81925.34,19582.88
23,8600*****************202100000029,01.03.2021,20.04.2021,0,71824402,18210604012020000110,13072.5,149699.94,0,1219424.67,68434.1
24,8600*****************202100000029,01.03.2021,20.04.2021,0,71824402,18210606043100000110,82.9,871.57,1.14,7596.77,26988.37
25,8600*****************202100000029,01.03.2021,20.04.2021,0,71824402,18210601030100000110,557.83,6790.8,422.42,45197.36,49792.79
26,8600*****************202100000029,01.03.2021,20.04.2021,0,71824000,18210604012020000110,101.21,0,0,14439.16,97192.0
27,8600*****************202100000029,01.03.2021,20.04.2021,0,71824000,18211610129010000140,0,0,0,23023.3,60.4
