,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202200004415,01.02.2022,25.03.2022,0,71887000,18210102030010000110,0,0,0,0,0
1,8600*****************202200004416,01.02.2022,25.03.2022,0,71871000,18210501011010000110,0,0,0,0,0
2,8600*****************202200004417,01.02.2022,25.03.2022,0,71873000,18210601020040000110,0,0,0,0,7639.0
3,8600*****************202200004417,01.02.2022,25.03.2022,0,71873000,18210501011010000110,0,0,0,0,44239.42
4,8600*****************202200004417,01.02.2022,25.03.2022,0,71873000,18210502010020000110,0,0,0,0,45506.0
5,8600*****************202200004417,01.02.2022,25.03.2022,0,71876000,18210502020020000110,0,0,0,0,737.65
6,8600*****************202200004417,01.02.2022,25.03.2022,0,71876000,18210501012010000110,0,0,0,0,27.75
7,8600*****************202200004417,01.02.2022,25.03.2022,0,71876000,18210601020040000110,0,0,0,0,466.22
8,8600*****************202200004418,01.02.2022,25.03.2022,0,71821000,18210803010010000110,0,200.0,0,0,0
9,8600*****************202200004418,01.02.2022,25.03.2022,0,71874000,18210803010010000110,0,716.41,0,0,0
10,8600*****************202200004418,01.02.2022,25.03.2022,0,71875000,18210102040010000110,0,526750.0,0,0,0
11,8600*****************202200004418,01.02.2022,25.03.2022,0,71876000,18210803010010000110,0,10617.1,0,0,0
12,8600*****************202200004418,01.02.2022,25.03.2022,0,71877000,18210803010010000110,0,4307.0,0,0,0
13,8600*****************202200004419,01.02.2022,25.03.2022,0,71876000,18210803010010000110,0,1645.29,0,0,0
14,8600*****************202200004420,01.02.2022,25.03.2022,68,71811406,18210602010020000110,0,0,0,222.8,0
15,8600*****************202200004420,01.02.2022,25.03.2022,68,71811406,18210502010020000110,0,0,0,0,0.1
16,8600*****************202200004420,01.02.2022,25.03.2022,68,71811406,18210606033100000110,0,0,0,134.73,0
17,8600*****************202200004420,01.02.2022,25.03.2022,68,71811151,18210602010020000110,399786.0,53000.0,0,0,128678.51
18,8600*****************202200004420,01.02.2022,25.03.2022,68,71811151,18210502010020000110,0,0,0,0,0.12
19,8600*****************202200004420,01.02.2022,25.03.2022,68,71811151,18210606033130000110,0,0,0,0,44299.26
20,8600*****************202200004420,01.02.2022,25.03.2022,68,71811151,18210604011020000110,0,0,0,0,20155.95
21,8600*****************202200004420,01.02.2022,25.03.2022,68,71811151,18210101012020000110,0,0,700000.0,0,18509.12
22,8600*****************202200004420,01.02.2022,25.03.2022,68,71811412,18210502010020000110,0,0,0,0,0.03
23,8600*****************202200004420,01.02.2022,25.03.2022,68,71811420,18210502010020000110,0,0,0,0,0.06
24,8600*****************202200004420,01.02.2022,25.03.2022,68,71811000,18210606033050000110,0,0,0,0,2373.38
25,8600*****************202200004420,01.02.2022,25.03.2022,68,71811410,18210606033100000110,0,0,0,0,4725.68
26,8600*****************202200004420,01.02.2022,25.03.2022,68,71812437,18210101012020000110,0,0,0,0,463.0
27,8600*****************202200004420,01.02.2022,25.03.2022,68,71812151,18210501011010000110,0,8820.0,0,0,30930.0
28,8600*****************202200004420,01.02.2022,25.03.2022,68,71812151,18210606033130000110,0,5039.0,0,11.42,20159.0
29,8600*****************202200004420,01.02.2022,25.03.2022,68,71812151,18210602010020000110,0,37000.0,0,0,148000.0
30,8600*****************202200004420,01.02.2022,25.03.2022,68,71812154,18210606033130000110,0,0,0,0,11751.0
31,8600*****************202200004420,01.02.2022,25.03.2022,68,71812424,18210502010020000110,0,0,0,0,0.2
32,8600*****************202200004420,01.02.2022,25.03.2022,68,71816163,18210606033130000110,0,0,0,1404.53,0
33,8600*****************202200004420,01.02.2022,25.03.2022,68,71816163,18210101012020000110,972.0,0,863.02,0,170128.0
34,8600*****************202200004420,01.02.2022,25.03.2022,68,71818410,18210101012020000110,0,0,0,0,0.01
35,8600*****************202200004420,01.02.2022,25.03.2022,68,71818410,18210604011020000110,70.28,0,0,2979.27,0
36,8600*****************202200004420,01.02.2022,25.03.2022,68,71818410,18210501011010000110,0,0,0,0,28.62
37,8600*****************202200004420,01.02.2022,25.03.2022,68,71818157,18210501011010000110,49265.09,21270.0,0,1050.66,8198.73
